,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
19,1650,Avg,std,0.2420622030851971,0.24567085522712281,0.0,0.24719922073278003,0.0014554968568957411,0.0014779006498064167,0.0,0.33010371372793357
20,1650,90,mean,-1.0938281250000006,-1.1319354838709734,-1.331585365853644,0.9445951219512194,-0.7196362318452023,-0.7428735232510302,-1.2830772861572108,0.8440810800045307
21,1650,90,std,0.8099763229384838,0.7925785515165238,0.6632602920735081,0.14293172620404596,0.7748955223079274,0.7762432782542029,0.6827633677950896,0.33266779934580915
22,1650,95,mean,-1.2225000000000001,-1.2683870967741988,-1.599024390243887,0.8995902439024389,-0.8119165905439755,-0.8381501509645007,-1.5301765804958993,0.8390949844436938
23,1650,95,std,0.9635867668456076,0.9385917251071811,0.7855045989520573,0.23108993151770169,0.900336785579372,0.9026252433360504,0.810499108812438,0.34028657028710996
24,1700,Avg,mean,0.05,0.05084745762711865,0.0,0.926578947368421,0.0034929356357927786,0.0035521379347045207,0.0,0.9078508771929824
25,1700,Avg,std,0.21794575726535617,0.2196869419299357,0.0,0.20092330738776526,0.02559788585559204,0.025809831964183703,0.0,0.25305044335894045
26,1700,90,mean,-0.9279166666666678,-0.9439830508474585,-1.4113157894736839,0.9408013157894738,-0.7146251091542895,-0.7267384326248666,-1.3509275329905073,0.8892932809295967
27,1700,90,std,0.8412097460353053,0.8391303793192687,0.6096782847206398,0.19506107145475313,0.7713102335512162,0.7721391296642012,0.6208179921214073,0.28247397715688877
28,1700,95,mean,-1.056666666666667,-1.0738983050847462,-1.6905263157894748,0.9468842105263157,-0.8261577535556881,-0.8401585800256892,-1.610797078103487,0.8914796491228071
29,1700,95,std,0.985208660356402,0.9845159570285262,0.7754516398707495,0.1323621705782042,0.9333407569570494,0.9349482994422094,0.7384817544260803,0.2729481185693894
30,1750,Avg,mean,0.06666666666666667,0.06779661016949153,0.0,0.9436842105263157,0.002996449269385049,0.0030472365451373377,0.0,0.9009100877192981
31,1750,Avg,std,0.24944475295269833,0.2513974933105597,0.0,0.1459533296122437,0.01848405606168399,0.01863589062866542,0.0,0.25687092322714355
32,1750,90,mean,-0.8541666666666662,-0.8516101694915252,-1.4961842105263177,0.9292026315789473,-0.644710668625951,-0.655599775497091,-1.3543554880732682,0.8706194960960093
33,1750,90,std,0.9010805595316622,0.9084689487014261,0.44484703495581085,0.18978254621011695,0.7687927439294235,0.7706786211772346,0.613412581831674,0.30080621075106706
34,1750,95,mean,-1.0499999999999987,-1.0467796610169475,-1.8168421052631591,0.9006736842105263,-0.7478385309062793,-0.7604716421090993,-1.6167499948458317,0.8633706083390292
35,1750,95,std,0.9572113026638172,0.9649668171999471,0.4701310984176819,0.22442986140019713,0.8990472432187775,0.9013378424449697,0.7256696182866171,0.31447795360173214
36,1800,Avg,mean,0.06666666666666667,0.06779661016949153,0.0,0.9257894736842106,0.003676506939446153,0.0037388206163859188,0.0,0.877377192982456
37,1800,Avg,std,0.2494447529526983,0.25139749331055966,0.0,0.18772434092746115,0.025612862541875937,0.02582449820774104,0.0,0.2932926957425045
38,1800,90,mean,-0.9255833333333353,-0.9397457627118659,-1.4606578947368418,0.9243710526315788,-0.6125890624296811,-0.6229695444200146,-1.2787651087116971,0.8547463988919668
39,1800,90,std,0.8108071884175349,0.8102569077011377,0.4753246086304864,0.18691156416207208,0.7641093688564202,0.7663509642090164,0.6604383624318882,0.3168565594665513
40,1800,95,mean,-1.1113333333333277,-1.1416949152542324,-1.7694736842105256,0.9140210526315788,-0.7179795359557637,-0.7301647551430622,-1.5273108660431338,0.8471770132307511
41,1800,95,std,0.929292549185283,0.9071448171221922,0.5637066995362318,0.21300826770799636,0.8903447873406153,0.8928834346775754,0.7822743152909016,0.32992540293590483
42,1850,Avg,mean,0.03389830508474576,0.034482758620689655,0.05263157894736842,0.9342105263157895,0.0002088150218841571,0.0002124152808821598,0.00044605667251047527,0.8706063596491228
43,1850,Avg,std,0.1809681238404203,0.18246630926018395,0.22329773687077023,0.1683772863076463,0.0013991844413674224,0.0014109238420897585,0.002062373967058675,0.2938626134872246
44,1850,90,mean,-0.7687288135593324,-0.7702586206896649,-1.3777631578947351,0.8661184210526316,-0.5873135594162613,-0.5974281043934567,-1.2536787406085301,0.8362520335528347
45,1850,90,std,0.8527613134709771,0.8600010124843394,0.6682088262574918,0.2887486922616984,0.740918005650142,0.7432283137133286,0.7032223188378985,0.3436548273621168
46,1850,95,mean,-0.9328813559321828,-0.9379310344827398,-1.711578947368417,0.9157894736842105,-0.6618487537666786,-0.6732502257233162,-1.5008976396358535,0.8374867196896328
